dollar_rate,days
18.59,1
18.60,2
18.60,3
18.60,4
18.60,5
18.61,6
18.61,7
18.61,8
18.61,9
18.61,10
18.61,11
18.61,12
18.61,13
18.62,14
18.62,15
18.62,16
18.62,17
18.62,18
18.62,19
18.63,20
18.63,21
18.63,22
18.63,23
18.64,24
18.64,25
18.65,26
18.66,27
18.66,28
18.68,29
18.70,30
18.70,31
18.70,32
18.70,33
18.71,34
18.72,35
18.74,36
18.75,37
18.75,38
18.76,39
18.76,40
18.76,41
18.76,42
18.77,43
18.77,44
18.77,45
18.77,46
18.77,47
18.78,48
18.78,49
18.79,50
18.79,51
18.79,52
18.79,53
18.79,54
18.79,55
18.79,56
18.79,57
18.81,58
18.81,59
18.81,60
18.81,61
18.81,62
18.82,63
18.82,64
18.83,65
18.83,66
18.84,67
18.84,68
18.85,69
18.85,70
18.85,71
18.86,72
18.86,73
18.86,74
18.86,75
18.87,76
18.87,77
18.88,78
18.89,79
18.91,80
18.93,81
18.94,82
18.95,83
18.95,84
18.96,85
18.98,86
18.98,87
18.99,88
19.00,89
19.02,90
19.02,91
19.04,92
19.07,93
19.08,94
19.11,95
19.15,96
19.15,97
19.18,98
19.20,99
19.23,100
19.23,101
19.24,102
19.24,103
19.26,104
19.29,105
19.31,106
19.34,107
