days,dollar_rate
1,"13,42"
2,"13,19"
3,"13,37"
4,"13,64"
5,"13,75"
6,"13,72"
7,"13,73"
8,"13,72"
9,"13,54"
10,"13,51"
11,"13,48"
12,"13,51"
13,"13,57"
14,"13,44"
15,"13,40"
16,"13,38"
17,"13,50"
18,"13,50"
19,"13,59"
20,"13,61"
21,"13,40"
22,"13,37"
23,"13,43"
24,"13,55"
25,"13,53"
26,"13,54"
27,"13,62"
28,"13,57"
29,"13,53"
30,"13,49"
31,"13,54"
32,"13,60"
33,"13,62"
34,"13,60"
35,"13,61"
36,"13,61"
37,"13,74"
38,"13,78"
39,"14,23"
40,"14,04"
41,"13,83"
42,"13,89"
43,"14,04"
44,"14,11"
45,"14,18"
46,"14,30"
47,"14,47"
48,"14,61"
49,"14,74"
50,"14,90"
51,"14,76"
52,"14,75"
53,"14,68"
54,"14,67"
55,"14,76"
56,"14,82"
57,"14,80"
58,"14,81"
59,"14,82"
60,"14,81"
61,"14,82"
62,"14,79"
63,"14,65"
64,"14,64"
65,"14,66"
66,"14,69"
67,"14,70"
68,"14,72"
69,"14,73"
70,"14,72"
71,"14,72"
72,"14,66"
73,"14,56"
74,"14,59"
75,"14,62"
76,"14,63"
77,"14,63"
78,"14,64"
79,"14,66"
80,"14,71"
81,"14,74"
82,"14,77"
83,"14,80"
84,"14,78"
85,"14,79"
86,"14,83"
87,"14,90"
88,"14,97"
89,"15,19"
90,"15,29"
91,"15,35"
92,"15,44"
93,"15,56"
94,"15,79"
95,"15,92"
96,"15,92"
97,"15,85"
98,"16,08"
99,"16,27"
100,"16,37"
101,"16,35"
102,"16,36"
103,"16,39"
104,"16,41"
105,"16,44"
106,"16,48"
107,"16,56"
108,"16,71"
109,"17,09"
110,"17,20"
111,"17,06"
112,"17,23"
113,"17,23"
114,"17,26"
115,"17,29"
116,"17,29"
117,"17,31"
118,"17,32"
119,"17,33"
120,"17,35"
121,"17,35"
122,"16,65"
123,"16,62"
124,"16,67"
125,"16,66"
126,"16,72"
127,"16,79"
128,"16,94"
129,"17,18"
130,"17,26"
131,"17,26"
132,"17,39"
133,"17,46"
134,"17,46"
135,"17,54"
136,"17,56"
137,"17,63"
138,"17,71"
139,"17,80"
140,"17,83"
141,"17,87"
142,"17,90"
143,"17,89"
144,"17,93"
145,"17,93"
146,"17,94"
147,"17,94"
148,"17,94"
149,"17,94"
150,"17,93"
151,"17,93"
152,"17,94"
153,"17,94"
154,"17,94"
155,"17,94"
156,"17,94"
157,"17,97"
158,"18,08"
159,"18,10"
160,"18,10"
161,"18,12"
162,"18,15"
163,"18,16"
164,"18,17"
165,"18,18"
166,"18,20"
167,"18,21"
168,"18,20"
169,"18,21"
170,"18,22"
171,"18,22"
172,"18,22"
173,"18,22"
174,"18,23"
175,"18,24"
176,"18,25"
177,"18,27"
178,"18,28"
179,"18,29"
180,"18,34"
181,"18,37"
182,"18,43"
183,"18,45"
184,"18,49"
185,"18,50"
186,"18,52"
187,"18,54"
188,"18,54"
189,"18,56"
190,"18,56"
191,"18,56"
192,"18,56"
193,"18,56"
194,"18,57"
195,"18,57"
196,"18,56"
197,"18,57"
198,"18,57"
199,"18,57"
200,"18,57"
201,"18,57"
202,"18,58"
203,"18,58"
204,"18,59"
205,"18,59"
206,"18,59"
207,"18,59"
208,"18,60"
209,"18,60"
210,"18,60"
211,"18,59"
212,"18,58"
213,"18,58"
214,"18,58"
215,"18,58"
216,"18,51"
217,"18,58"
218,"18,59"
219,"18,59"
220,"18,60"
221,"18,59"
222,"18,60"
223,"18,60"
224,"18,61"
225,"18,60"
226,"18,61"
227,"18,61"
228,"18,61"
229,"18,61"
230,"18,62"
231,"18,61"
232,"18,61"
233,"18,61"
234,"18,62"
235,"18,62"
