days,dollar_rate
1,"1,98"
2,"1,97"
3,"1,98"
4,"1,97"
5,"1,98"
6,"1,99"
7,"1,99"
8,"1,99"
9,"1,99"
10,"2,01"
11,"2,02"
12,"2,02"
13,"2,03"
14,"2,03"
15,"2,03"
16,"2,04"
17,"2,05"
18,"2,05"
19,"2,04"
20,"2,04"
21,"2,02"
22,"2,02"
23,"2,01"
24,"2,02"
25,"2,02"
26,"2,00"
27,"2,01"
28,"2,02"
29,"2,02"
30,"2,02"
31,"2,03"
32,"2,04"
33,"2,05"
34,"2,05"
35,"2,04"
36,"2,03"
37,"2,03"
38,"2,03"
39,"2,04"
40,"2,04"
41,"2,03"
42,"2,04"
43,"2,04"
44,"2,06"
45,"2,09"
46,"2,09"
47,"2,08"
48,"2,07"
49,"2,10"
50,"2,16"
51,"2,13"
52,"2,13"
53,"2,17"
54,"2,17"
55,"2,19"
56,"2,17"
57,"2,18"
58,"2,18"
59,"2,18"
60,"2,17"
61,"2,19"
62,"2,19"
63,"2,21"
64,"2,21"
65,"2,24"
66,"2,24"
67,"2,26"
68,"2,27"
69,"2,31"
70,"2,34"
71,"2,27"
72,"2,22"
73,"2,28"
74,"2,27"
75,"2,26"
76,"2,26"
77,"2,24"
78,"2,22"
79,"2,22"
80,"2,22"
81,"2,20"
82,"2,19"
83,"2,20"
84,"2,18"
85,"2,18"
86,"2,18"
87,"2,19"
88,"2,21"
89,"2,20"
90,"2,18"
91,"2,20"
92,"2,21"
93,"2,23"
94,"2,21"
95,"2,22"
96,"2,21"
97,"2,21"
98,"2,20"
99,"2,19"
100,"2,21"
101,"2,22"
102,"2,25"
103,"2,22"
104,"2,23"
105,"2,22"
106,"2,22"
107,"2,22"
108,"2,24"
109,"2,24"
110,"2,24"
111,"2,23"
112,"2,21"
113,"2,19"
114,"2,19"
115,"2,16"
116,"2,15"
117,"2,13"
118,"2,14"
119,"2,14"
120,"2,12"
121,"2,09"
122,"2,10"
123,"2,10"
124,"2,12"
125,"2,13"
126,"2,13"
127,"2,13"
128,"2,13"
129,"2,13"
130,"2,13"
131,"2,14"
132,"2,14"
133,"2,13"
134,"2,13"
135,"2,12"
136,"2,12"
137,"2,11"
138,"2,10"
139,"2,09"
140,"2,09"
141,"2,07"
142,"2,08"
143,"2,08"
144,"2,07"
145,"2,07"
146,"2,08"
147,"2,10"
148,"2,10"
149,"2,11"
150,"2,09"
151,"2,08"
152,"2,08"
153,"2,10"
154,"2,10"
155,"2,09"
156,"2,09"
157,"2,10"
158,"2,10"
159,"2,12"
160,"2,11"
161,"2,09"
162,"2,08"
163,"2,09"
164,"2,09"
165,"2,11"
166,"2,12"
167,"2,14"
168,"2,13"
169,"2,14"
170,"2,13"
171,"2,14"
172,"2,14"
173,"2,13"
174,"2,14"
175,"2,13"
176,"2,12"
177,"2,12"
178,"2,12"
179,"2,13"
180,"2,13"
181,"2,13"
182,"2,13"
183,"2,13"
184,"2,12"
185,"2,12"
186,"2,12"
187,"2,12"
188,"2,12"
189,"2,12"
190,"2,12"
191,"2,13"
192,"2,12"
193,"2,12"
194,"2,09"
195,"2,09"
196,"2,09"
197,"2,13"
198,"2,14"
199,"2,13"
200,"2,13"
201,"2,16"
202,"2,16"
203,"2,17"
204,"2,15"
205,"2,16"
206,"2,16"
207,"2,16"
208,"2,16"
209,"2,17"
210,"2,16"
211,"2,17"
212,"2,18"
213,"2,18"
214,"2,18"
215,"2,17"
216,"2,16"
217,"2,16"
218,"2,16"
219,"2,16"
220,"2,17"
221,"2,16"
222,"2,16"
223,"2,16"
224,"2,16"
225,"2,19"
226,"2,20"
227,"2,19"
228,"2,20"
229,"2,21"
230,"2,21"
231,"2,21"
232,"2,22"
233,"2,22"
234,"2,24"
235,"2,23"
236,"2,23"
237,"2,25"
238,"2,26"
239,"2,28"
240,"2,28"
241,"2,28"
242,"2,27"
243,"2,27"
244,"2,29"
245,"2,26"
246,"2,28"
247,"2,27"
248,"2,28"
249,"2,27"
250,"2,27"
251,"2,25"
252,"2,25"
253,"2,24"
254,"2,24"
255,"2,24"
256,"2,24"
257,"2,24"
258,"2,24"
259,"2,22"
260,"2,20"
261,"2,23"
262,"2,22"
263,"2,23"
264,"2,24"
265,"2,27"
266,"2,25"
267,"2,26"
268,"2,26"
269,"2,25"
270,"2,24"
271,"2,23"
272,"2,22"
273,"2,23"
274,"2,23"
275,"2,22"
276,"2,23"
277,"2,23"
278,"2,22"
279,"2,21"
280,"2,21"
281,"2,22"
282,"2,22"
283,"2,24"
284,"2,24"
285,"2,24"
286,"2,27"
287,"2,26"
288,"2,26"
289,"2,26"
290,"2,28"
291,"2,32"
292,"2,37"
293,"2,37"
294,"2,32"
295,"2,32"
296,"2,32"
297,"2,32"
298,"2,32"
299,"2,32"
300,"2,32"
301,"2,32"
302,"2,32"
303,"2,33"
304,"2,34"
305,"2,34"
306,"2,33"
307,"2,33"
308,"2,31"
309,"2,30"
310,"2,29"
311,"2,28"
312,"2,29"
313,"2,28"
314,"2,31"
315,"2,34"
316,"2,34"
317,"2,34"
318,"2,35"
319,"2,33"
320,"2,36"
321,"2,36"
322,"2,36"
323,"2,40"
324,"2,42"
325,"2,42"
326,"2,42"
327,"2,41"
328,"2,44"
329,"2,43"
330,"2,49"
331,"2,48"
332,"2,49"
333,"2,49"
334,"2,47"
335,"2,45"
336,"2,45"
337,"2,46"
338,"2,44"
339,"2,45"
340,"2,48"
341,"2,48"
342,"2,46"
343,"2,48"
344,"2,51"
345,"2,51"
346,"2,52"
347,"2,54"
348,"2,58"
349,"2,60"
350,"2,60"
351,"2,63"
352,"2,62"
353,"2,59"
354,"2,61"
355,"2,62"
356,"2,62"
